# 追溯矩阵 SSOT — 由 scripts/check-traceability.sh 校验
# BR → EX → AC → 任务 → API → 测试任务 全链路追溯
# 维护规则：新增 BR 时在本文件追加一行；已废弃 BR 不在此文件出现（见各模块 PRD §5.x.4 编号连续性说明）
# 已废弃（保留说明）：BR-5.6-06（v1.3.3 清空功能下线）、BR-5.7-05/06（v1.4.0 代发/发表问题下线）
br_id,module,description,related_ex,related_ac,impl_tasks,test_task,api,notes
BR-5.4-03,5.4,单采纳,-,AC-5.4-03;AC-5.4-08,QDETAIL-04;QDETAIL-06,TEST-01,POST /answers/{id}/accept,is_accepted 字段；仅 1 条
BR-5.4-04,5.4,投票互斥,EX-5.4-04,AC-5.4-04;AC-5.4-05;AC-5.4-10,QDETAIL-03;QDETAIL-06,TEST-01,POST /answers/{id}/vote,唯一索引 (user_id answer_id)
BR-5.4-05,5.4,Author 红标,-,AC-5.4-06,QDETAIL-07,TEST-01,-,UI 渲染
BR-5.4-06,5.4,A▸B 嵌套格式,-,AC-5.4-06,QDETAIL-07,TEST-01,-,parent_id 关联
BR-5.4-07,5.4,翻译切换,EX-5.4-02,-,QDETAIL-08,TEST-01,POST /translate,缓存 7d
BR-5.4-08,5.4,删除同步 UOP,-,-,QDETAIL-05,TEST-03,DELETE /questions/{id},UOP MQ 事件
BR-5.4-09,5.4,详情显示具体时间,-,-,QDETAIL-05,TEST-01,-,UI 格式化
BR-5.4-10,5.4,敏感词,-,-,QDETAIL-02,TEST-05,POST /content/check,UOP 调用
BR-5.4-11,5.4,追问机制,-,-,QDETAIL-02,TEST-01,POST /questions/{id}/answers,同样审核流程
BR-5.4-12,5.4,采纳后不可追问,-,-,QDETAIL-02,TEST-02,-,Service 校验
BR-5.4-13,5.4,两层嵌套回复,-,AC-5.4-06,QDETAIL-07,TEST-01,POST /questions/{id}/answers,parent_id 关联最多两层
BR-5.4-14,5.4,媒体显示 3+N Items,-,-,QDETAIL-07,TEST-01,-,超出 3 个时显示总数
BR-5.4-15,5.4,投票防抖 1s,-,-,QDETAIL-03,TEST-01,POST /answers/{id}/vote,UI 立即反馈
BR-5.4-16,5.4,回复前缀,-,-,QDETAIL-07,TEST-01,-,"Reply {昵称} : " 前缀
BR-5.4-17,5.4,翻译按钮显示规则,-,-,QDETAIL-08,TEST-01,POST /translate,mlkit 语言检测
BR-5.4-18,5.4,分享按钮条件,-,-,QDETAIL-05,TEST-01,-,审核通过且公开
BR-5.4-19,5.4,回答 cursor 分页 10 条,-,AC-5.4-09,QDETAIL-01,TEST-01,GET /questions/{id}/answers,cursor 10 条/次
BR-5.4-20,5.4,底部回复权限控制,-,-,QDETAIL-02,TEST-01,-,无权限 toast
BR-5.5-01,5.5,仅搜标题+内容,-,AC-5.5-01,SEARCH-01;SEARCH-03,TEST-01,GET /questions/search,ES query fields
BR-5.5-02,5.5,关键词高亮,-,AC-5.5-01,SEARCH-01;SEARCH-03,TEST-01,-,ES highlight
BR-5.5-03,5.5,仅 APPROVED,-,-,SEARCH-01,TEST-03,-,ES filter
BR-5.5-04,5.5,相关性排序,-,-,SEARCH-01,TEST-01,-,ES score
BR-5.5-05,5.5,每次 20 条,EX-5.5-04,AC-5.5-04,SEARCH-01;SEARCH-03,TEST-01,-,cursor 分页
BR-5.5-06,5.5,缩略图首张,-,-,SEARCH-01,TEST-01,-,UI 渲染
BR-5.5-07,5.5,ES + MySQL fallback,EX-5.5-04,-,SEARCH-02,TEST-02,-,降级策略
BR-5.6-01,5.6,系统消息统一,-,AC-5.6-01,NOTIFY-02;NOTIFY-03;NOTIFY-04,TEST-01,GET /notifications,type = SYSTEM_MESSAGE
BR-5.6-02,5.6,未读红点,-,AC-5.6-01,NOTIFY-04,TEST-01,-,UI is_read 状态
BR-5.6-03,5.6,点击标记已读,-,AC-5.6-02,NOTIFY-03;NOTIFY-04,TEST-01,PUT /notifications/{id}/read,-
BR-5.6-04,5.6,时间倒序,-,-,NOTIFY-03,TEST-01,GET /notifications,ORDER BY created_at DESC
BR-5.6-05,5.6,模板填充,-,-,NOTIFY-02,TEST-02,-,后端 fillTemplate
BR-5.7-01,5.7,时间倒序 + 排序序号,EX-5.7-04,AC-5.7-08,QM-01;QM-04,TEST-03,GET /api/v1/admin/questions,ORDER BY sort_order ASC created_at DESC
BR-5.7-02,5.7,手机/邮箱脱敏,-,-,QM-01,TEST-05,GET /api/v1/admin/questions,maskPhone/maskEmail
BR-5.7-03,5.7,热门标记,-,AC-5.7-04,QM-03;QM-04,TEST-03,PUT /api/v1/admin/questions/{id}/hot,is_hot 字段
BR-5.7-04,5.7,隐藏,-,-,QM-03;QM-04,TEST-03,PUT /api/v1/admin/questions/{id}/hide,is_hidden 字段
BR-5.7-07,5.7,驳回原因必填,-,AC-5.7-03,QM-04;QM-05,TEST-03,POST /api/v1/admin/questions/{id}/audit,DTO @NotBlank
BR-5.7-08,5.7,操作日志,-,AC-5.7-14,QM-02;QM-03;AUDIT-05,TEST-03,-,AuditLog 表
BR-5.7-09,5.7,批量 ≤100,EX-5.7-02,AC-5.7-07;AC-5.7-13,QM-02;QM-05;AM-02,TEST-03,POST /api/v1/admin/questions/audit,DTO @Size(max=100)
BR-5.7-10,5.7,删除二次确认,-,-,QM-04,TEST-03,DELETE /api/v1/admin/questions/{id},前端 confirm
BR-5.7-11,5.7,推送到 UOP,EX-5.7-03,AC-5.7-09,QM-03;QM-04,TEST-03,POST /api/v1/admin/questions/{id}/push-uop,MQ 异步 + 状态回写
BR-5.7-12,5.7,查看回复弹窗批量审核,EX-5.7-05,AC-5.7-06;AC-5.7-07,QM-02;QM-05;AM-02,TEST-03,POST /api/v1/admin/answers/audit,复用回答审核 API
BR-5.7-13,5.7,父回答 ID 规则,-,AC-5.7-15,QM-01;QM-05,TEST-02,GET /api/v1/admin/questions/{id}/replies,一级=NULL 二级=被回复回答 ID
BR-5.8-01,5.8,时间倒序,-,-,AM-01,TEST-03,GET /api/v1/admin/answers,-
BR-5.8-02,5.8,官方号自动同步 UOP,-,AC-5.8-01;AC-5.8-06,AM-02;AM-05,TEST-03,POST /api/v1/admin/answers/{id}/audit,Service 触发 MQ
BR-5.8-03,5.8,同步失败重同步,EX-5.8-01,AC-5.8-03,AM-03;AM-05,TEST-03,POST /api/v1/admin/answers/{id}/resync,-
BR-5.8-04,5.8,已采纳不可删,EX-5.8-02,AC-5.8-04,AM-02,TEST-03,DELETE /api/v1/admin/answers/{id},Service 校验
BR-5.8-05,5.8,身份区分,-,-,AM-01,TEST-03,GET /api/v1/admin/answers,author_type 字段
BR-5.8-06,5.8,驳回原因必填,-,AC-5.8-02,AM-02;AM-05,TEST-03,POST /api/v1/admin/answers/{id}/audit,DTO @NotBlank
BR-5.8-07,5.8,操作日志,-,-,AM-02,TEST-03,-,AuditLog
BR-5.8-08,5.8,批量 ≤100,EX-5.8-04,AC-5.8-07,AM-02,TEST-03,POST /api/v1/admin/answers/audit,DTO @Size(max=100)
BR-5.8-09,5.8,删除二次确认,-,-,AM-04,TEST-03,DELETE /api/v1/admin/answers/{id},前端
BR-5.8-10,5.8,脱敏,-,-,AM-01,TEST-05,GET /api/v1/admin/answers,maskPhone
BR-5.9-01,5.9,注册时间倒序,-,-,USER-01,TEST-03,GET /api/v1/admin/users,ORDER BY created_at DESC
BR-5.9-02,5.9,官方号名称读字典,EX-5.9-01,AC-5.9-01;AC-5.9-04,USER-01;USER-04,TEST-03,PUT /api/v1/admin/users/{id}/official,字典 OfficialAccountName
BR-5.9-03,5.9,设官方号必选名称,-,AC-5.9-02,USER-03;USER-04,TEST-03,PUT /api/v1/admin/users/{id}/official,DTO @NotBlank
BR-5.9-04,5.9,取消官方号二次确认,EX-5.9-03,AC-5.9-05,USER-03;USER-04,TEST-03,DELETE /api/v1/admin/users/{id}/official,前端 confirm
BR-5.9-05,5.9,UOP 同步官方号,EX-5.9-02,AC-5.9-03,USER-01;USER-03,TEST-03,POST /api/v1/admin/users/sync-official,自动关联名称
BR-5.9-06,5.9,身份变更同步内容,-,AC-5.9-05,USER-03;USER-04,TEST-03,-,历史内容标识同步更新
BR-5.9-07,5.9,操作日志,-,-,USER-03;USER-04,TEST-03,-,AuditLog 表
BR-5.9-08,5.9,手机/邮箱脱敏,-,-,USER-01,TEST-05,GET /api/v1/admin/users,maskPhone/maskEmail
